Name,AUID,Coords,Const,Type,Period,Mag
"14 Aql","000-BCF-061","19 02 54.50 -03 41 56.4","Aql","CST","--","5.40 - ? V"
"15 Aql","000-BCF-155","19 04 57.67 -04 01 53.1","Aql","CST","--","5.40 - ? V"
"1SWASP J164159.14+363818.5","--","16 41 59.15 +36 38 18.9","Her","CST","--","12.0 - ? V"
"21 Psc","000-BCS-015","23 49 27.48 +01 04 34.1","Psc","CST","--","5.77 - ? V"
"2MASS J11184638-5612409","--","11 18 46.38 -56 12 40.9","Cen","CST","--","13.62 - ? V"
"2MASS J17040535-3643343","000-BLD-225","17 04 05.35 -36 43 34.2","Sco","CST","--","16.2 - ? V"
"2MASS J18144821-1840219","--","18 14 48.21 -18 40 21.9","Sgr","CST:","--","16.1 - ? V"
"AA Cen","--","14 00 00.40 -47 13 37.6","Cen","CST","--","12.1 - ? V"
"AAVSO 0527-66","000-BCZ-215","05 27 54.61 -66 05 02.4","Dor","CST","--","14.67 - ? V"
"AC Cen","--","11 33 09.28 -57 41 45.8","Cen","CST","--","11.92 - ? V"
"AC Leo","000-BDS-804","10 00 14.72 +17 27 35.2","Leo","CST","--","9.47 - ? V"
"AD Col","000-BDM-157","06 05 24.67 -28 40 38.7","Col","CST","--","7.58 - ? V"
"AE Psc","000-BFC-676","01 31 44.48 +22 44 28.5","Psc","CST","--","8.24 - ? V"
"AF Pyx","000-BFD-257","08 40 17.61 -32 09 55.1","Pyx","CST","--","8.11 - ? V"
"AF Sgr","000-BFD-633","-- ","Sgr","--","--","--"
"AI Car","000-BDJ-153","07 48 22.27 -52 28 09.1","Car","CST","--","11.87 - ? V"
"AK Cyg","000-BDN-295","21 43 51.34 +51 13 06.6","Cyg","CST","--","11.05 - ? V"
"alf Lyr","000-BCC-827","18 36 56.34 +38 47 01.3","Lyr","CST","--","0.03 - ? V"
"ALS 181","--","07 08 13.08 -10 36 02.4","Mon","CST","--","11.64 - ? V"
"AO Lyn","000-BDT-488","06 17 38.03 +59 31 24.7","Lyn","CST","--","15.14 - ? V"
"ASAS J004535+0526.1","--","00 45 35.26 +05 26 07.7","Psc","CST","--","13.5 - ? V"
"ASAS J021914-0256.5","000-BFT-622","02 19 14.32 -02 56 29.4","Cet","CST","344","12.68 (1.15) V"
"ASAS J044037-5236.0","--","04 40 37.42 -52 36 01.1","Pic","CST","--","13.93 - ? V"
"ASAS J050907-7935.1","--","05 09 07.29 -79 35 05.5","Men","CST","--","13.95 - ? V"
"ASAS J061152+2815.8","--","06 11 52.05 +28 15 51.5","Aur","CST","--","12.59 - ? V"
"ASAS J114007-6111.1","--","11 40 06.88 -61 11 08.7","Cen","CST","--","7.32 - ? V"
"ASAS J114205-5948.5","--","11 42 04.23 -59 48 24.7","Cen","CST","--","12.45 - ? V"
"ASAS J114917-6342.3","--","11 49 17.37 -63 42 06.2","Cen","CST","--","11.96 - ? V"
"ASAS J120730-5725.3","--","12 07 29.40 -57 25 16.9","Cru","CST:","--","12.44 - ? V"
"ASAS J124202-6210.9","--","12 42 03.65 -62 10 55.2","Cru","CST","--","13.75 - ? V"
"ASAS J125418-6230.1","--","12 54 18.20 -62 30 11.4","Cru","CST","--","13.94 - ? V"
"ASAS J151508-6719.4","--","15 15 07.16 -67 19 20.6","TrA","CST","--","14.15 - ? V"
"ASAS J153911-0038.3","--","15 39 10.37 -00 38 20.3","Ser","CST","--","14.33 - ? V"
"ASAS J170314+2212.3","000-BHK-247","17 03 14.23 +22 12 15.6","Her","CST","--","10.04 - ? V"
"ASAS J170659-5909.0","--","17 06 59.81 -59 09 01.0","Ara","CST","--","13.92 - ? V"
"ASAS J174209-3155.8","--","17 42 09.05 -31 55 59.7","Sco","CST","--","14.20 - ? V"
"ASAS J174844-3456.9","--","17 48 44.61 -34 56 53.2","Sco","CST","--","8.88 - ? V"
"ASAS J174930-3355.4","--","17 49 30.50 -33 55 29.3","Sco","CST","--","13.9 - ? V"
"ASAS J174942-3411.5","--","17 49 41.46 -34 11 33.0","Sco","VAR","--","11.071 (1.620) Ic"
"ASAS J175000-2748.6","--","17 49 59.54 -27 48 38.7","Sgr","CST","--","9.47 - ? V"
"ASAS J175351-3423.5","--","17 53 52.12 -34 23 28.4","Sco","CST","--","--"
"ASAS J175558-2901.9","--","17 55 57.40 -29 01 55.3","Sgr","CST","--","--"
"ASAS J180149-2942.5","--","18 01 50.33 -29 42 44.4","Sgr","CST","--","13.77 - ? V"
"ASAS J180740-3608.5","000-BHP-951","18 07 39.97 -36 08 29.4","Sgr","CST","--","9.42 - ? V"
"ASAS J183540+2712.6","--","18 35 40.75 +27 12 39.4","Lyr","CST","--","11.99 - ? V"
"ASAS J185442+4340.5","--","18 54 42.25 +43 40 25.3","Lyr","CST","--","13.79 - ? V"
"ASAS J203036+0610.7","--","20 30 36.52 +06 10 43.7","Del","CST","--","13.01 - ? V"
"ASAS J211135+2152.2","--","21 11 35.38 +21 52 18.8","Vul","CST","--","12.97 - ? V"
"ASAS J235641+2240.0","--","23 56 41.51 +22 39 54.9","Peg","CST","--","10.10 - ? V"
"ASASSN-16oe","000-BMD-072","12 46 20.15 -58 53 38.9","Cru","Microlens","--","13.1 - 16.4 V"
"ASASSN-19cq","000-BMZ-406","17 47 05.88 -13 31 41.9","Ser","Microlens","--","14.6 - 15.9 g"
"ASASSN-19qi","000-BND-716","18 19 28.88 -35 21 50.8","Sgr","Microlens","--","14.8 - 15.9 g"
"ASASSN-19sq","000-BNF-565","18 55 29.22 -10 45 07.2","Sct","Microlens:","--","16.4 - 21.0 g"
"ASASSN-19zc","000-BNH-175","09 54 45.35 -60 55 41.1","Car","Microlens","--","13.7 - 17.1 g"
"ASASSN-20mg","000-BNR-571","17 38 33.32 -48 23 59.9","Ara","Microlens","--","13.46 - 15.4: g"
"ASASSN-21gq","000-BNY-720","19 15 51.66 -07 12 41.5","Aql","Microlens","--","10.7 - 17.8 r CR"
"ASASSN-21ip","000-BNZ-343","18 25 14.98 -22 39 40.1","Sgr","Microlens:","--","15.9 - 17.4 g"
"ASASSN-22av","000-BPG-552","15 01 00.66 -54 24 00.0","Lup","Microlens","--","12.4 - 16.1 g"
"ASASSN-22jv","000-BPK-880","00 09 37.60 -77 12 11.5","Hyi","Microlens","--","12.4 - 16.7 g"
"ASASSN-22kq","000-BPL-138","18 14 23.71 -32 10 03.9","Sgr","Microlens","--","13.5 - 16.9 g"
"ASASSN-23gy","000-BPR-778","23 51 26.28 +52 36 52.3","Cas","Microlens:","--","12.78 - 13.29 g"
"ASASSN-24fs","000-BPY-725","19 45 58.94 -07 55 29.1","Aql","Microlens:","--","12.66: - 14.67 g"
"ASASSN-25ff","000-BQJ-530","08 08 51.57 -16 39 30.8","Pup","Microlens:","--",">12.1 - 12.5 g"
"ASASSN-V J000026.01+601611.2","--","00 00 26.01 +60 16 11.2","Cas","CST","--","11.80 - ? V"
"ASASSN-V J000711.40+653913.6","--","00 07 11.40 +65 39 13.6","Cas","CST","--","10.87 - ? V"
"ASASSN-V J001259.25+661919.4","000-BNP-451","00 12 59.25 +66 19 19.4","Cas","CST","--","10.50 - ? V"
"ASASSN-V J001339.79+634824.4","000-BBB-316","00 13 39.79 +63 48 24.4","Cas","CST","--","11.04 - ? V"
"ASASSN-V J021019.39+571101.2","000-BNJ-566","02 10 19.39 +57 11 01.2","Per","CST","--","15.36 - ? V"
"ASASSN-V J021844.55+565552.2","--","02 18 44.55 +56 55 52.2","Per","CST","--","14.30 - ? V"
"ASASSN-V J021903.58+570521.3","--","02 19 03.58 +57 05 21.3","Per","CST","--","12.10 - ? V"
"ASASSN-V J021923.94+570015.9","--","02 19 23.94 +57 00 15.9","Per","CST","--","10.39 - ? V"
"ASASSN-V J061800.49+353533.0","--","06 18 00.49 +35 35 33.0","Aur","CST","--","12.84 - ? V"
"ASASSN-V J061917.53+094328.8","--","06 19 17.56 +09 43 29.9","Ori","CST","--","10.95 - ? V"
"ASASSN-V J064508.98-175639.8","000-BPP-353","06 45 08.98 -17 56 39.8","CMa","CST","--","14.28 - ? V"
"ASASSN-V J064510.98-182138.3","000-BPP-349","06 45 10.98 -18 21 38.3","CMa","CST","--","14.96 - ? V"
"ASASSN-V J064511.57-182708.6","000-BPP-357","06 45 11.57 -18 27 08.6","CMa","CST","--","14.60 - ? V"
"ASASSN-V J071247.21+301610.5","--","07 12 47.21 +30 16 10.5","Gem","CST:","--","14.08 - ? V"
"ASASSN-V J093634.32+440745.2","--","09 36 34.32 +44 07 45.2","UMa","CST","--","13.00 - ? V"
"ASASSN-V J165638.88-303612.3","--","16 56 38.88 -30 36 12.3","Sco","CST","--","12.56 - ? V"
"ASASSN-V J165730.45-321924.3","--","16 57 30.45 -32 19 24.3","Sco","CST","--","15.18 - ? V"
"ASASSN-V J165732.49-322541.1","000-BNF-088","16 57 32.49 -32 25 41.1","Sco","CST","--","14.17 - ? V"
"ASASSN-V J175601.02-171231.4","000-BPP-799","17 56 01.02 -17 12 31.4","Sgr","CST","--","15.21 - ? V"
"ASASSN-V J183931.42+263414.1","--","18 39 31.42 +26 34 14.0","Lyr","CST","--","11.17 - ? V"
"ASASSN-V J194105.23+172713.3","--","19 41 05.07 +17 27 14.3","Sge","CST","--","15.8 - ? V"
"ASASSN-V J210252.41+465911.1","--","21 02 52.41 +46 59 11.1","Cyg","CST","--","12.1 - ? V"
"ASASSN-V J210525.17+463433.5","--","21 05 25.17 +46 34 33.5","Cyg","CST","--","11.26 - ? V"
"ASASSN-V J214737.03+455700.5","--","21 47 37.03 +45 57 00.5","Cyg","CST","--","11.49 - ? V"
"ASASSN-V J215314.52+451515.0","--","21 53 14.52 +45 15 15.0","Cyg","CST","--","13.38 - ? V"
"ASASSN-V J223509.04+543619.9","--","22 35 09.04 +54 36 19.9","Lac","CST","--","14.2 - ? V"
"ASASSN-V J223709.38+495150.8","--","22 37 09.38 +49 51 50.8","Lac","CST:","--","10.28 - ? V"
"ASASSN-V J225249.93+463207.2","--","22 52 49.93 +46 32 07.2","Lac","CST","--","15.19 - ? V"
"AU Leo","000-BDS-814","11 30 14.34 +23 48 07.9","Leo","Galaxy","--","16.4 - ? V"
"AV Boo","000-BDH-209","13 51 06.83 +17 39 03.5","Boo","CST","--","14.6 - ? V"
"AV Car","000-BDJ-159","10 31 34.97 -63 26 18.7","Car","CST","--","14.15 - ? V"
"AW And","000-BDC-786","23 55 36.26 +45 20 35.8","And","CST","--","12.45 - ? V"
"AY Mus","000-BDV-881","11 31 40.27 -65 16 16.4","Mus","EA+CST","3.205558","10.32 - ? V"
"BB Car","000-BDJ-164","10 35 23.39 -60 56 15.0","Car","CST","--","14.34 - ? V"
"BD Car","000-BDJ-166","10 41 32.67 -59 48 15.9","Car","CST","--","13.71 - ? V"
"BD+12 4134","000-BDF-529","19 54 52.80 +12 45 58.3","Aql","CST","--","10.76 - ? V"
"BD+26 2566","000-BBV-385","14 24 45.72 +25 40 28.1","Boo","CST","--","9.28 - ? V"
"BD+66 1079","000-BCB-298","18 06 55.36 +66 09 44.0","Dra","CST","--","10.78 - ? V"
"BEST lrcby-1368","--","18 43 19.43 +05 28 53.4","Ser","CST","--","19.04 - ? r"
"BK Boo","000-BDH-220","14 05 04.69 +28 36 03.2","Boo","CST","--","13.8 - ? V"
"BK Car","000-BCZ-893","10 44 13.79 -59 27 15.8","Car","CST","--","13.56 - ? V"
"BM Cap","000-BDJ-116","20 48 55.70 -20 37 08.3","Cap","CST","--","9.05 - ? V"
"BN Cap","000-BCV-091","21 20 02.48 -27 18 16.1","Cap","CST","--","8.02 - ? V"
"BPS CS 22874-0124","000-BJY-988","14 50 38.62 -24 22 50.0","Lib","CST","--","14.57 - ? V"
"BQ Car","000-BDJ-170","10 47 43.99 -58 33 50.8","Car","CST","--","13.65 - ? V"
"BR Car","000-BDJ-171","10 47 56.48 -60 09 09.2","Car","CST","--","10.04 - ? V"
"BT Mus","000-BDV-899","11 26 37.89 -75 03 27.4","Mus","CST","--","14.0 - ? p"
"BT Sct","000-BFL-540","18 42 07.17 -04 20 41.8","Sct","CST","--","12.0 - ? p"
"BV Sct","000-BFL-542","18 46 23.08 -05 09 02.1","Sct","CST","--","13.0 - ? p"
"BW Sct","000-BFL-543","18 47 20.92 -04 45 29.8","Sct","CST","--","13.7 - ? p"
"BZ Hyi","000-BDS-340","00 07 25.90 -77 29 39.1","Hyi","CST","--","8.40 - ? V"
"Cam3","000-BCZ-690","08 32 45.62 +73 37 07.9","Cam","CST:","--","16.3 - ? V"
"CC Mic","000-BDV-114","21 16 55.68 -28 36 17.2","Mic","CST","--","9.65 - ? V"
"CD-25 4407","000-BKW-002","07 21 20.57 -25 27 59.0","CMa","CST","--","9.19 - ? V"
"CD-45 11775","000-BDB-678","17 40 52.74 -45 34 08.1","Sco","CST","--","10.06 - ? V"
"CE Cyg","000-BCN-710","21 18 56.33 +47 00 26.0","Cyg","CST","--","7.75 - ? V"
"CF Cyg","000-BCV-619","20 01 26.57 +52 05 19.2","Cyg","CST","--","8.9 - ? V"
"CK Ori","000-BBJ-451","05 30 19.92 +04 12 17.3","Ori","CST","--","6.21 - ? V"
"Cl* NGC 6819 SHLP 30608","--","19 41 48.92 +40 14 12.3","Cyg","CST","--","18.33 - ? V"
"CN Cet","000-BDL-822","00 40 09.99 -08 55 52.9","Cet","CST","--","8.98 - ? V"
"CP Cyg","000-BCP-098","21 37 27.87 +44 41 47.6","Cyg","CST","--","6.20 - ? V"
"CPD-58 4492","000-BDB-124","12 46 23.11 -59 34 38.8","Cru","CST","--","10.4 - ? V"
"CQ Cyg","000-BCV-621","19 57 40.00 +53 18 35.1","Cyg","CST","--","9.28 - ? V"
"CSS 071109:004236-030317","--","00 42 35.61 -03 03 17.4","Cet","Minor planet","--","19.6 - ? CV"
"CSS_J010948.5+440707","--","01 09 48.57 +44 07 07.7","And","CST","--","12.80 - ? V"
"CSS_J035503.7+313158","000-BKL-775","03 55 03.75 +31 31 57.3","Per","CST","--","12.14 - ? V"
"CSS_J053340.7-021532","--","05 33 40.79 -02 15 32.3","Ori","CST","--","13.7 - ? V"
"CSS_J065041.8+340150","--","06 50 41.84 +34 01 50.5","Gem","CST","--","16.40 - ? V"
"CSS_J071245.6+402522","--","07 12 45.67 +40 25 22.4","Aur","CST","--","12.72 - ? V"
"CSS_J081713.5+104622","--","08 17 13.54 +10 46 22.2","Cnc","CST","--","13.16 - ? V"
"CSS_J093403.5+100545","--","09 34 03.51 +10 05 45.7","Leo","CST","--","16.17 - ? V"
"CSS_J095958.5+211459","--","09 59 58.58 +21 14 59.5","Leo","CST","--","12.69 - ? V"
"CSS_J102417.2+161949","--","10 24 17.25 +16 19 49.6","Leo","CST","--","12.54 - ? V"
"CSS_J130854.2-153215","--","13 08 54.18 -15 32 14.8","Vir","CST","--","15.70 - ? r"
"CSS_J150035.2-165444","--","15 00 35.25 -16 54 45.0","Lib","CST","--","11.81 - ? V"
"CSS_J150917.1-170252","--","15 09 17.16 -17 02 51.4","Lib","CST","--","12.51 - ? V"
"CSS_J153512.2-145339","--","15 35 12.33 -14 53 39.3","Lib","CST","--","11.91 - ? V"
"CSS_J153535.3-155042","--","15 35 35.31 -15 50 42.7","Lib","CST","--","12.19 - ? V"
"CSS_J155508.8+191256","--","15 55 08.83 +19 12 56.2","Ser","CST","--","17.00 - ? V"
"CSS_J163938.0-093054","--","16 39 38.06 -09 30 54.2","Oph","CST","--","13.09 - ? V"
"CSS_J163942.1+223202","--","16 39 42.26 +22 32 03.9","Her","CST","--","10.34 - ? V"
"CSS_J164808.5+012515","--","16 48 08.59 +01 25 15.6","Oph","CST","--","12.59 - ? V"
"CSS_J184628.7+404238","--","18 46 28.75 +40 42 37.8","Lyr","CST","--","13.21 - ? V"
"CSS_J225023.1+171307","--","22 50 23.28 +17 13 00.7","Peg","CST","--","10.12 - ? V"
"CSS_J225806.5-034817","--","22 58 06.33 -03 48 17.5","Aqr","CST","--","20.0 - ? r"
"CT Oct","000-BDW-528","11 41 42.85 -88 03 52.6","Oct","CST","--","10.83 - ? V"
"CU Eri","000-BBF-432","02 46 58.16 -13 20 28.4","Eri","CST","--","8.73 - ? V"
"CV Aqr","000-BDD-474","-- ","Aqr","Minor planet","--","--"
"CX Cet","000-BDL-829","01 30 28.08 -17 33 59.3","Cet","CST","--","9.47 - ? V"
"CzeV575","--","20 21 07.80 +65 11 18.6","Dra","CST","--","14.99 - ? V"
"DE Cnc","000-BBP-745","08 35 27.25 +19 45 31.2","Cnc","Minor planet","--","14.6 - 18.0 p"
"del Eri","--","03 43 14.90 -09 45 48.2","Eri","CST","--","3.53 - ? V"
"DG Cet","000-BCV-450","01 50 37.30 -04 57 15.0","Cet","CST","--","8.90 - ? V"
"DP Cam","000-BCZ-092","04 50 25.09 +63 19 58.6","Cam","CST","--","9.83 - ? V"
"DS Cet","000-BDL-841","02 16 09.31 -21 00 29.6","Cet","CST","--","8.87 - ? V"
"DT Ser","000-BFL-981","18 01 52.27 -01 26 15.7","Ser","CST","--","12.8 - ? V"
"DU Aqr","--","21 43 23.40 -01 06 38.0","Aqr","Minor planet","372","11.8 - <16.0 p"
"DW Cam","--","05 23 45.47 +68 41 13.9","Cam","CST","--","10.99 - ? V"
"EF Mus","000-BCW-459","12 54 17.89 -70 02 12.4","Mus","CST","--","6.88 - ? V"
"EK And","000-BBC-618","01 16 13.46 +41 44 22.1","And","CST:","--","11.2 - ? V"
"EL Sge","000-BFD-435","20 00 57.80 +19 03 30.4","Sge","CST","--","11.4 - ? B"
"EP Tau","000-BCY-953","03 30 04.13 +28 06 53.3","Tau","CST","--","11.10 - ? V"
"EP TrA","000-BFN-748","15 49 26.17 -64 15 57.4","TrA","EA/D","2.14165","9.4 - 9.9 p"
"EQ J010959.2+280125","000-BKV-780","01 09 59.21 +28 01 24.4","Psc","CST","--","15.1 - ? CV"
"eta Cas","000-BDK-280","00 49 06.29 +57 48 54.7","Cas","CST","--","3.47 - ? V"
"EVRJ024227.96+062556.3","--","02 42 28.04 +06 25 56.7","Cet","VAR","0.1395","13.01 (0.047)g V"
"EVRJ031736.19+080644.3","--","03 17 36.12 +08 06 44.4","Cet","VAR","0.4386","12.65 (0.048)g V"
"EVRJ040342.82+051630.0","--","04 03 42.76 +05 16 32.3","Tau","VAR","1.2726","12.50 (0.028)g V"
"EVRJ055815.07+082912.5","--","05 58 14.56 +08 29 13.0","Ori","VAR","0.9577","13.65 (0.047)g V"
"EVRJ090345.07+063356.5","--","09 03 45.04 +06 33 56.8","Cnc","VAR","41.7257","13.27 (0.041)g V"
"EVRJ111947.62+085811.6","--","11 19 47.63 +08 58 11.6","Leo","EA","2.3661","14.02 (0.53)g V"
"EVRJ135123.76+074111.4","--","13 51 23.79 +07 41 11.1","Boo","VAR","4.3127","12.47 (0.048)g V"
"EVRJ150518.17+062323.6","--","15 05 18.14 +06 23 23.4","Vir","VAR","0.1668","13.36 (0.053)g V"
"EVRJ153240.92+054336.1","--","15 32 40.91 +05 43 37.0","Ser","VAR","1.2312","11.60 (0.021)g V"
"EVRJ153936.96+061720.8","--","15 39 36.91 +06 17 20.5","Ser","VAR","58.7069","12.61 (0.057)g V"
"EVRJ155543.75+062518.8","--","15 55 43.68 +06 25 22.7","Ser","VAR","1.2412","11.24 (0.031)g V"
"EVRJ164449.03+082109.7","--","16 44 48.96 +08 21 09.2","Her","VAR","1.3934","13.36 (0.052)g V"
"EVRJ173918.65+081931.4","--","17 39 19.31 +08 19 29.3","Oph","VAR","0.2508","13.32 (0.013)g V"
"EVRJ182013.44+083523.6","--","18 20 13.49 +08 35 25.0","Oph","VAR","8.2391","12.23 (0.040)g V"
"EVRJ182020.76+065445.0","000-BPK-097","18 20 20.86 +06 54 48.9","Oph","VAR","7.6309","13.25 (0.063)g V"
"EVRJ190325.54+071516.9","--","19 03 25.49 +07 15 16.5","Aql","VAR","10.1299","11.47 (0.017)g V"
"EVRJ190632.06+051345.5","--","19 06 32.05 +05 13 44.9","Aql","VAR","0.5442","12.64 (0.080)g V"
"EVRJ191341.81+070205.6","--","19 13 42.02 +07 01 56.9","Aql","VAR","0.5144","13.32 (0.014)g V"
"EVRJ191731.06+070124.6","--","19 17 31.04 +07 01 25.2","Aql","VAR","9.1599","12.46 (0.037)g V"
"EVRJ195419.58+084303.0","--","19 54 18.87 +08 43 06.9","Aql","VAR","9.8629","13.75 (0.022)g V"
"EVRJ201533.41+082530.4","--","20 15 33.45 +08 25 32.0","Aql","VAR","1.2054","12.64 (0.052)g V"
"EVRJ204952.97+054416.1","--","20 49 52.90 +05 44 16.8","Del","VAR","6.7301","12.97 (0.088)g V"
"EVRJ210125.78+082428.8","--","21 01 25.21 +08 24 27.3","Equ","VAR","0.8740","14.10 (0.018)g V"
"EVRJ211939.26+065648.5","--","21 19 39.33 +06 56 42.1","Equ","VAR","1.1733","12.90 (0.038)g V"
"FASTT 804","--","16 10 36.96 -01 13 30.6","Ser","CST","--","13.65 - ? V"
"FBS 0204-024","--","02 06 44.54 -02 12 16.8","Cet","CST","--","16.3 - ? V"
"FF Aps","000-BDD-253","14 38 16.82 -71 47 49.8","Aps","CST","--","14.46 - ? V"
"Gaia DR3 1059719030656998400","--","10 47 31.46 +66 33 13.2","UMa","VAR","--","20.52 - 21.33 G"
"Gaia DR3 1392261271596159232","--","15 16 05.12 +41 02 24.6","Boo","VAR","--","20.02 - 20.83 G"
"Gaia DR3 1406529943227346944","--","16 34 27.61 +45 42 10.4","Her","VAR","--","19.89 - 20.59 G"
"Gaia DR3 1410772065246227584","--","16 20 37.68 +46 55 47.7","Her","VAR","--","19.96 - 20.73 G"
"Gaia DR3 1468215023742551424","--","13 31 01.69 +30 34 00.4","CVn","VAR","--","20.61 - 21.16 G"
"Gaia DR3 1511272891222996480","--","14 03 44.24 +49 36 33.2","UMa","VAR","--","20.36 - 21.04 G"
"Gaia DR3 1553672327333175040","--","13 24 00.01 +50 10 28.4","CVn","VAR","--","20.02 - 20.68 G"
"Gaia DR3 1576300276632467712","--","12 59 41.14 +54 54 28.0","UMa","VAR","--","20.28 - 20.80 G"
"Gaia DR3 1599749943370880000","--","15 17 28.72 +54 40 11.8","Boo","VAR","--","20.30 - 20.94 G"
"Gaia DR3 1600703284375686144","--","15 16 34.37 +55 57 59.5","Dra","VAR","--","20.30 - 20.94 G"
"Gaia DR3 1609081116302529792","--","14 12 06.95 +54 08 27.3","Boo","VAR","--","19.88 - 20.40 G"
"Gaia DR3 1659439195531261184","--","13 51 29.18 +59 06 26.3","UMa","VAR","--","20.03 - 20.58 G"
"Gaia DR3 1670575633417719552","--","14 29 48.15 +67 36 14.6","UMi","VAR","--","20.03 - 20.49 G"
"Gaia DR3 2197942199416977408","--","22 09 29.72 +55 46 38.9","Cep","CST","--","13.03 - ? V"
"Gaia DR3 2872782368778085888","--","23 39 11.51 +33 28 54.1","And","VAR","--","20.21 - 21.25 G"
"Gaia DR3 3194026681065729280","--","03 58 17.12 -09 14 30.5","Eri","VAR","--","20.23 - 20.99 G"
"Gaia DR3 3567356856321376128","--","11 59 05.03 -17 37 10.4","Crv","VAR","--","20.12 - 20.71 G"
"Gaia DR3 363246760276448640","000-BPV-988","01 04 51.79 +35 05 29.4","And","CST","--","19.7: - ? G"
"Gaia DR3 3941651883093435776","--","13 02 32.87 +19 52 29.9","Com","VAR","--","20.53 - 20.95 G"
"Gaia DR3 4041642707503630208","--","17 50 45.21 -34 14 41.2","Sco","VAR","--","19.15 - 20.46 G"
"Gaia DR3 4041682221271752576","--","17 50 59.04 -33 58 18.2","Sco","VAR","--","19.06 - 19.24 G"
"Gaia DR3 4041980395080048384","--","17 48 39.15 -32 51 23.9","Sco","VAR","--","19.70 - 20.33 G"
"Gaia DR3 4042335430079572480","--","17 56 25.23 -34 24 35.0","Sco","VAR","--","19.36 - 20.06 G"
"Gaia DR3 4043964322079279616","--","17 57 36.05 -31 47 33.1","Sco","VAR","--","19.49 - 20.12 G"
"Gaia DR3 4054019738115896064","--","17 44 00.38 -32 56 27.5","Sco","VAR","--","19.11 - 20.84 G"
"Gaia DR3 4059256780768511616","--","17 18 03.85 -29 56 03.3","Oph","VAR","--","19.28 - 20.81 G"
"Gaia DR3 4059443521610603136","--","17 27 17.46 -29 41 02.8","Oph","VAR","--","19.12 - 19.97 G"
"Gaia DR3 4060408862783337344","--","17 34 35.20 -28 14 36.5","Oph","VAR","--","19.82 - 20.42 G"
"Gaia DR3 4060931336940814848","--","17 38 35.95 -27 15 52.6","Oph","VAR","--","19.15 - 19.48 G"
"Gaia DR3 4064071061114240128","--","18 00 11.93 -26 07 02.9","Sgr","VAR","--","19.18 - 20.55 G"
"Gaia DR3 4068560848199951360","--","17 49 39.42 -23 34 41.4","Sgr","VAR","--","19.07 - 19.64 G"
"Gaia DR3 4068804248278621568","--","17 45 39.10 -23 15 20.0","Sgr","VAR","--","19.39 - 20.55 G"
"Gaia DR3 4069377716512265728","--","17 54 31.33 -23 17 04.2","Sgr","VAR","--","20.19 - 20.53 G"
"Gaia DR3 4070231689172730752","--","17 53 07.24 -22 28 15.0","Sgr","VAR","--","19.52 - 20.32 G"
"Gaia DR3 4092025491399809024","--","18 33 22.00 -20 05 44.6","Sgr","VAR","--","19.17 - 20.19 G"
"Gaia DR3 4203879874428941568","--","18 55 31.28 -08 19 17.7","Sct","VAR","--","19.31 - 19.90 G"
"Gaia DR3 4289397586705743488","--","19 27 12.38 +03 01 40.9","Aql","CST","--","18.58 - ? V"
"Gaia DR3 4310082046130379520","--","18 56 02.80 +08 14 22.7","Aql","CST","--","15.9 - ? G"
"Gaia DR3 4560684316880735232","--","17 11 34.43 +19 30 51.4","Her","VAR","--","19.76 - 20.56 G"
"Gaia DR3 4634266276411042176","--","00 23 23.14 -80 24 37.9","Hyi","VAR","--","19.87 - 20.36 G"
"Gaia DR3 4714235238862780672","--","01 52 42.43 -61 06 28.4","Hyi","VAR","--","20.24 - 20.76 G"
"Gaia DR3 4749938541784905856","--","03 18 48.22 -48 03 57.5","Hor","VAR","--","20.12 - 20.58 G"
"Gaia DR3 4815622576153933440","--","04 39 19.45 -42 17 48.5","Cae","VAR","--","20.06 - 20.58 G"
"Gaia DR3 4818069848519951104","--","04 45 17.27 -38 36 46.0","Cae","VAR","--","20.25 - 20.86 G"
"Gaia DR3 4824683342240770944","--","05 01 37.08 -35 31 18.2","Cae","VAR","--","20.03 - 20.81 G"
"Gaia DR3 4838867974247346688","--","04 06 50.15 -43 36 21.9","Hor","VAR","--","20.32 - 20.87 G"
"Gaia DR3 4847800436776414080","--","03 24 40.00 -43 17 43.0","Eri","VAR","--","19.83 - 20.39 G"
"Gaia DR3 4852991098027277824","--","03 19 00.31 -40 16 44.6","Eri","VAR","--","20.26 - 20.86 G"
"Gaia DR3 4950021040672713856","--","02 31 07.06 -43 13 38.8","Eri","VAR","--","20.12 - 20.79 G"
"Gaia DR3 4963862895634638720","--","02 19 44.61 -38 37 40.7","For","VAR","--","20.44 - 21.37 G"
"Gaia DR3 497247811471287680","--","04 52 21.52 +70 28 42.9","Cam","VAR","--","20.44 - 20.99 G"
"Gaia DR3 5334183595902105088","--","11 33 10.50 -61 53 22.8","Cen","VAR","--","19.55 - 20.07 G"
"Gaia DR3 5338268560822425472","--","10 48 58.50 -60 18 50.1","Car","VAR","--","19.38 - 19.87 G"
"Gaia DR3 5836498614158612992","--","15 59 24.38 -55 36 02.0","Nor","VAR","--","19.75 - 20.69 G"
"Gaia DR3 5877273865374753152","--","14 36 57.61 -62 52 10.9","Cen","VAR","--","19.28 - 19.93 G"
"Gaia DR3 5932671414400913024","--","16 02 51.06 -54 43 10.5","Nor","VAR","--","19.12 - 19.90 G"
