Name,AUID,Coords,Const,Type,Period,Mag
"KELT KC11C009763","--","19 45 30.62 +26 01 51.9","Vul","EA","2.938612","9.97 (0.003)i' V"
"KELT KC11C010443","--","19 30 19.28 +28 48 43.1","Cyg","EA","6.76287","10.50 (0.012) V"
"KELT KC11C011211","--","19 03 35.48 +25 12 40.2","Vul","EA","44.04065","8.97 (0.023) V"
"KELT KC11C011283","--","19 23 07.57 +34 51 16.0","Lyr","EA","1.28977","11.70 (0.000)R V"
"KELT KC11C012212","--","20 00 50.11 +41 09 15.9","Cyg","EA","2.3946132","11.13 (0.013) V"
"KELT KC11C014119","--","20 00 54.89 +29 30 23.1","Cyg","EA","3.21","11.05 (0.028) V"
"KELT KC11C014718","--","19 37 40.67 +23 51 41.0","Vul","EA","3.1776271","10.73 (0.030) V"
"KELT KC11C014803","--","20 03 06.07 +22 25 56.6","Vul","EA","1.083423","10.55 (0.004)r' V"
"KELT KC11C019701","--","19 38 46.25 +29 04 14.2","Cyg","EA","1.2338462","10.29 (0.004) V"
"KELT KC11C020711","--","19 21 39.50 +32 55 14.0","Lyr","EA:","1.3695","10.15 - ? V"
"KELT KC11C021673","--","20 10 53.83 +36 55 01.5","Cyg","EA","3.363928","10.87 (0.007)r' V"
"KELT KC11C022290","--","19 53 20.63 +43 38 35.1","Cyg","EA","0.9645618","10.95 (0.006) V"
"KELT KC11C023117","--","18 36 39.81 +27 14 10.2","Lyr","EA","5.250288","10.55 (0.016) V"
"KELT KC11C026446","--","19 49 15.25 +35 14 13.7","Cyg","EA","12.690426","11.56 (0.028)r' V"
"KELT KC11C027664","--","18 46 31.00 +30 55 29.6","Lyr","EA","3.316614","9.79 (0.007) V"
"KELT KC11C028109","--","20 26 51.05 +41 51 33.4","Cyg","EA","9.1221","8.50 (0.012) V"
"KELT KC11C029495","--","19 27 03.99 +32 26 59.2","Cyg","EA","2.387","12.11 (0.010)i V"
"KELT KC11C034703","--","19 19 51.11 +34 58 15.2","Lyr","EA","2.191915","11.75 (0.056) V"
"KELT KC11C039147","--","19 11 38.65 +34 31 17.1","Lyr","EA","0.667855","9.87 (0.016) V"
"KELT KC11C040287","--","19 49 43.55 +25 36 42.7","Vul","EA","28.20962","10.53 (0.020) V"
"KELT KC11C041226","--","18 40 49.15 +34 33 34.6","Lyr","EA","19.228873","10.33 (0.013) V"
"KELT KC11C047822","--","19 09 23.47 +32 37 57.7","Lyr","EA","3.181183","12.27 (0.028) V"
"KELT KC11C048107","--","20 23 35.46 +38 52 56.6","Cyg","EA","2.321887","8.83 (0.004)Ic V"
"KELT KC11C048558","--","19 59 55.90 +31 28 20.6","Cyg","EA","4.15176","11.15 (0.005)i V"
"KELT KC11C049775","--","19 39 03.78 +31 37 47.5","Cyg","EA","2.747203","11.35 (0.012)r V"
"KELT KC12C000727","--","21 46 52.17 +29 19 04.1","Cyg","EA","3.956813","10.48 (0.005)r' V"
"KELT KC12C001919","--","20 48 35.09 +42 36 57.8","Cyg","EA","6.056322","9.61 (0.005)r' V"
"KELT KC12C003172","--","20 30 56.02 +37 35 29.9","Cyg","EA","5.109343","10.63 (0.020) V"
"KELT KC12C014982","--","20 56 21.47 +24 46 55.9","Vul","EA","1.1528596","9.56 (0.006) V"
"KELT KC12C017416","--","20 51 35.97 +32 33 43.6","Cyg","EA","1.1224619","8.92 (0.002)R V"
"KELT KC12C019545","--","21 33 56.10 +31 20 06.1","Cyg","EA","19.81282","10.88 (0.016) V"
"KELT KC12C019715","--","21 55 30.89 +35 25 27.4","Peg","EA","2.07","11.80 (0.014) V"
"KELT KC12C022014","--","21 23 59.84 +26 56 53.1","Vul","EA","0.6789048","11.07 (0.004)r' V"
"KELT KC12C022698","--","21 16 59.21 +38 00 09.2","Cyg","EA","1.582988","11.56 (0.007)r' V"
"KELT KC12C023607","--","21 08 37.90 +37 03 27.7","Cyg","EA","5.58901","11.00 (0.030) V"
"KELT KC12C026738","--","20 47 37.97 +34 11 46.7","Cyg","EA","4.62869","10.90 (0.019) V"
"KELT KC12C030478","--","20 30 16.67 +20 53 07.0","Del","EA","3.39","9.52 (0.015) V"
"KELT KC12C032502","--","20 49 32.45 +33 36 42.5","Cyg","EA","2.66616","12.25 (0.012)R V"
"KELT KC12C033095","--","20 39 51.31 +39 12 12.4","Cyg","EA","0.5055432","11.23 (0.013) V"
"KELT KC12C034490","--","20 45 03.89 +32 29 29.8","Cyg","EA","1.73485","11.83 (0.014) V"
"KELT KC12C034904","--","21 26 19.66 +41 17 04.8","Cyg","EA","1.93404","12.00 (0.024) V"
"KELT KC12C035242","--","21 16 45.22 +19 21 36.8","Peg","EA","4.39785","9.43 (0.008) V"
"KELT KC12C037167","--","20 42 59.30 +34 06 18.6","Cyg","EA","0.9046458","11.36 (0.006)g' V"
"KELT KC12C040470","--","20 28 46.87 +27 35 00.1","Vul","EA","7.33462","10.44 (0.013) V"
"KELT KC12C040613","--","22 07 42.14 +25 10 40.6","Peg","EA","6.13828","10.81 (0.009) V"
