Name,Period,phi31_V,[Fe/H]_V
1566907050012358272,0.7419756,5.39988,-2.24
1785517685627427328,0.562448,4.44405,-2.24
3738888366835050496,0.588472,4.57761,-2.24
918642072381771392,0.5561488,4.41401,-2.23
1258317631228962816,0.6009313,4.65242,-2.23
1334599720740513024,0.7274482,5.32714,-2.23
1462523539240966272,0.7038071,5.2055,-2.23
1022285989786150656,0.6921455,5.14841,-2.22
2958812526519964928,0.6498402,4.9242,-2.22
5032510629236996608,0.6247431,4.78742,-2.22
1239603363504114560,0.6171217,4.75117,-2.21
1498913766347349120,0.6884338,5.13208,-2.21
2383252342956243328,0.5820504,4.56725,-2.21
2547009241111707264,0.6803933,5.09583,-2.21
6836508627130440064,0.8000734,5.7309,-2.21
923270707098470272,0.6206499,4.78218,-2.2
1206247685411755648,0.6150769,4.75215,-2.2
3882560005048361088,0.6581783,4.98027,-2.2
786705418699669632,0.6811352,5.10992,-2.19
1285983512743696000,0.7045718,5.23384,-2.19
4009676296682624768,0.5706844,4.51757,-2.19
1441253349362043520,0.8254716,5.89109,-2.18
1477548743590481280,0.5718787,4.53351,-2.18
3785081118060878336,0.672851,5.07524,-2.18
4454183799545435008,0.7465916,5.4676,-2.18
6165638278845537792,0.8453123,5.99394,-2.18
663638971983488640,0.6290454,4.84823,-2.17
1207992850882594560,0.646491,4.93847,-2.17
1420394509976448000,0.5271448,4.3031,-2.17
1767153543637028864,0.6609462,5.01516,-2.17
2818675543310377856,0.7166176,5.31192,-2.17
2880358592304959872,0.8198858,5.86782,-2.17
1264746445652712320,0.5774987,4.57658,-2.16
3813895778771753472,0.5807442,4.59752,-2.16
1013918122184032000,0.5472684,4.42702,-2.15
1165508443140102784,0.5601447,4.4919,-2.15
1195499753091217664,0.644803,4.94183,-2.15
1398489837464855040,0.5081578,4.21272,-2.15
1420217733417559936,0.8447812,6.01309,-2.15
2653802189881669760,0.5327256,4.3451,-2.15
3962896573750515456,0.6040633,4.72765,-2.15
370067649378653440,0.7227658,5.36806,-2.14
1279487318872809216,0.5510519,4.45244,-2.14
2482520959996380288,0.5582627,4.48912,-2.14
2690410193305422592,0.5712797,4.55685,-2.14
1207907157695092224,0.5234626,4.30956,-2.13
1356025457153174656,0.6494549,4.98367,-2.13
1574545357290594432,0.6448328,4.96218,-2.13
2036756887155412096,0.8313663,5.95266,-2.13
3864542956543496704,0.4941339,4.15466,-2.13
1324822386605440128,0.636095,4.9218,-2.12
3362670191147451008,0.5878487,4.65973,-2.12
3464231977125588736,0.6641757,5.0678,-2.12
4353917066465121024,0.7553693,5.55626,-2.12
648057277307484160,0.6578429,5.04242,-2.11
2685237678291407872,0.6420056,4.95969,-2.11
2880246201601060224,0.6913266,5.22156,-2.11
3727833391597367424,0.6508165,5.00183,-2.11
219099823805100416,0.5892833,4.68635,-2.1
881849252220985600,0.5230146,4.32634,-2.1
3652267638208117504,0.6765095,5.15065,-2.1
3882761387474540672,0.5863334,4.6644,-2.1
3908174777685731968,0.7255642,5.4082,-2.1
646165842429919616,0.6363005,4.94367,-2.09
1286256707025987456,0.6425077,4.97256,-2.09
1578257617783832192,0.5421592,4.43879,-2.09
1663532647257282176,0.6300505,4.90827,-2.09
1678004556741218048,0.5425396,4.4407,-2.09
2552132037583250560,0.6873099,5.21497,-2.09
832882673676352512,0.5885865,4.69057,-2.08
1606776990903788928,0.516191,4.30507,-2.08
3362573983880111744,0.6726254,5.14451,-2.08
3722561851817970048,0.5774983,4.63348,-2.08
5757800347763435776,0.7542435,5.57748,-2.08
802810648404085632,0.5149459,4.30714,-2.07
1013227594521401984,0.6936562,5.26396,-2.07
1443871698864581504,0.6745893,5.1605,-2.07
3632110703852863616,0.6515542,5.03685,-2.07
3667828162987142912,0.5670575,4.58247,-2.07
3693498877573835520,0.6235304,4.88534,-2.07
3719687320401261312,0.5472396,4.47868,-2.07
3777972225631078400,0.711553,5.35583,-2.07
3833554806157884928,0.6053111,4.79084,-2.07
3920084172241132928,0.5617541,4.55745,-2.07
3953442289875737472,0.6717573,5.14646,-2.07
4428085718531642880,0.5817035,4.66477,-2.07
93538099874915968,0.6071876,4.80898,-2.06
1353204630008969728,0.6129749,4.84021,-2.06
1385222065012276224,0.5745696,4.63221,-2.06
1533880980593444352,0.6977962,5.29188,-2.06
2580618253555098624,0.7341806,5.482,-2.06
3654108942227406976,0.7936233,5.80055,-2.06
3728127824491088896,0.6193049,4.87151,-2.06
5446376529740872064,0.6620314,5.09891,-2.06
5901010294175491072,0.7806582,5.73048,-2.06
804268983081052032,0.6722315,5.16411,-2.05
1196253502675947008,0.6335903,4.95208,-2.05
1264888488811080704,0.5359801,4.43725,-2.05
1911728361934556416,0.6346754,4.96389,-2.05
2464543734428251136,0.5897054,4.72176,-2.05
3861510091157167872,0.5921494,4.73569,-2.05
3950243462657374208,0.5513781,4.51605,-2.05
4422581327100436992,0.7115256,5.37351,-2.05
4462588397708107904,0.6919727,5.26628,-2.05
4550091931093504896,0.627558,4.92426,-2.05
733011421184981888,0.7928096,5.80998,-2.04
736244844363837056,0.7102842,5.37154,-2.04
939965485495731712,0.6681476,5.14781,-2.04
1469498703568855808,0.5015438,4.25935,-2.04
1533344629373289856,0.6548868,5.0763,-2.04
3960226688935833728,0.7578821,5.62751,-2.04
593234665474220032,0.6504265,5.0594,-2.03
693662339568755072,0.6703281,5.16362,-2.03
1395400175430908928,0.6245694,4.92255,-2.03
3665860522504930560,0.6292076,4.94509,-2.03
6652342735882582144,0.7308585,5.48946,-2.03
478544023470366080,0.5774484,4.67753,-2.02
782648319570158080,0.5188802,4.36344,-2.02
1287052719086555520,0.5772398,4.67487,-2.02
1520939767390027776,0.6554811,5.09333,-2.02
4000256643128125184,0.7383952,5.53688,-2.02
4375802364381616768,0.5961377,4.77355,-2.02
6714234073608169856,0.6170111,4.88738,-2.02
69969728833405184,0.7348287,5.52255,-2.01
577776867722849024,0.4798191,4.16007,-2.01
1180089444792539008,0.611537,4.86546,-2.01
1247834754226378752,0.620332,4.90905,-2.01
1384219344767684480,0.465938,4.08899,-2.01
1421387029674782208,0.5640835,4.61428,-2.01
4005951666683128704,0.6426696,5.0345,-2.01
4490885841278442752,0.7777172,5.75144,-2.01
6106206239392766208,0.6735289,5.19688,-2.01
368702468253868672,0.5969579,4.79379,-2
808205921898416384,0.6517385,5.08774,-2
1240817739737143296,0.5629008,4.61226,-2
1524274379999174400,0.5841138,4.72907,-2
1534440395789336704,0.7364619,5.53913,-2
3313725808993524736,0.6229341,4.9329,-2
3790412959181425152,0.5899352,4.75452,-2
3939848580945093504,0.5390723,4.48555,-2
1239109442264988032,0.7112341,5.4094,-1.99
1393364910688739200,0.5873146,4.75257,-1.99
1541023721662446080,0.5928121,4.77666,-1.99
1741699089243885568,0.6154666,4.89815,-1.99
2515474766589659776,0.619514,4.9246,-1.99
3674730695123119616,0.5913266,4.77121,-1.99
368336773262512640,0.6552793,5.11851,-1.98
736682690510425472,0.7283238,5.51306,-1.98
803149748959744000,0.7511764,5.63154,-1.98
1178275113167632896,0.6087524,4.8743,-1.98
1215704275684016384,0.5561655,4.59106,-1.98
1245988674203920768,0.617057,4.91485,-1.98
2576046827804121728,0.635958,5.01681,-1.98
3880316550356179584,0.6868792,5.28637,-1.98
3892831505236595456,0.7677153,5.72044,-1.98
3893927924487491328,0.5911278,4.77543,-1.98
4014459618939954176,0.5895916,4.76731,-1.98
1228241869336033280,0.7138412,5.44154,-1.97
1412229850162058112,0.5100256,4.3514,-1.97
2503919552216841728,0.6119553,4.89454,-1.97
4009940454351088128,0.5294458,4.45527,-1.97
1265310838715065088,0.594725,4.81112,-1.96
1339037972441141120,0.5111777,4.36708,-1.96
2470173616216090240,0.5925368,4.79897,-1.96
3842309014659179904,0.6124825,4.90271,-1.96
4450063792037290752,0.8168193,5.99743,-1.96
4565345524624212864,0.6097203,4.89278,-1.96
136503307733082624,0.721213,5.49498,-1.95
579670437198935552,0.6917567,5.33904,-1.95
590033059412994816,0.4860041,4.23568,-1.95
827788601945188224,0.6026311,4.85755,-1.95
1155496633854537856,0.6626967,5.17768,-1.95
1586807007884877056,0.7510184,5.64922,-1.95
1770239941496273664,0.5250826,4.44456,-1.95
2628976007599900800,0.5426163,4.54229,-1.95
3968739966951465856,0.7277647,5.53015,-1.95
4575461890593262976,0.6225561,4.96305,-1.95
619932010387137280,0.6538363,5.14169,-1.94
685215891244781440,0.4761644,4.19226,-1.94
818908052687020288,0.5919724,4.807,-1.94
1243407982974171392,0.6512839,5.12729,-1.94
1291395476478245120,0.4967677,4.30338,-1.94
1853702254260781440,0.7089552,5.43587,-1.94
2590666312364117120,0.5639891,4.65774,-1.94
2730945746752332928,0.5855931,4.77758,-1.94
3703236182612660096,0.5159873,4.4041,-1.94
3725801803347130496,0.5367431,4.51717,-1.94
3915277485361324416,0.633054,5.02803,-1.94
3916509281982042624,0.5647372,4.66509,-1.94
3926021603750283264,0.5536993,4.60606,-1.94
4409409933716995200,0.6259301,4.99446,-1.94
116094104178204928,0.5377778,4.53076,-1.93
